"inboxId","catalogId","status","confidenceScore","confidenceGap","reason","title","makam","form","usul","composer","sourceProvider"
"divanmakam-toprakta-yatacak-teni-tenim-var","muhayyer--ilahi--duyek--toprakta_yatacak--dede_efendi","accepted","320","235","Explicit catalog id and metadata agree.","Toprakta Yatacak Teni Tenim Var Deyüp Neylersin","Muhayyer","İlahi","Düyek","Dede Efendi","DîvânMakam"
"divanmakam-sevgi-baht-olmus-ezelden-bize","rast--ilahi--sofyan--sevgi_baht--tahir_karagoz","accepted","320","258","Explicit catalog id and metadata agree.","Sevgi Baht Olmuş Ezelden Bize","Rast","İlahi","Sofyan","Tahir Karagöz","DîvânMakam"
"ogm-materyal-git-ey-akan-gozyasim","saba--ilahi--duyek--git_ey--munir_nurettin_selcuk","accepted","320","225","Explicit catalog id and metadata agree.","Git Ey Akan Göz Yaşım","Sabâ","İlahi","Düyek","Münir Nurettin Selçuk","OGM Materyal"
"divanmakam-ey-acep-kudret-beni-kilmistir","segah--ilahi--duyek--ey_acep--seyh_huseyin_halis_efendi","accepted","200","135","High-confidence automatic catalog match.","Ey Acep Kudret Beni Kılmıştır Alim Ü Aşina","Segah","İlahi","Düyek","Halis Efendi (Şeyh)","DîvânMakam"
"divanmakam-zahid-bize-tan-eyleme","sehnaz--ilahi--duyek--zahid_bize--selahaddin_demirtas","accepted","178","116","High-confidence automatic catalog match.","Zahid Bize Tan Eyleme Hak İsmin Okur Dilimiz","Şehnaz","İlahi","Düyek","Selahattin Demirtaş","DîvânMakam"
"ogm-materyal-allah-emrin-tutalim","ussak--ilahi--duyek--allah_emrin--zekai_dede","accepted","200","90","High-confidence automatic catalog match.","Allah Emrin Tutalım Rahmetine Batalım","Uşşak","İlahi","Düyek","Zekai Dede","OGM Materyal"
"divanmakam-askinla-cak-olsa-bu-ten","ussak--ilahi--sofyan--askinla_cak--haci_nafiz_bey","accepted","320","195","Explicit catalog id and metadata agree.","Aşkınla Çak Olsa Bu Ten Ben Yine İllallah Direm","Uşşak","İlahi","Sofyan","Nafiz Bey (Hacı)","DîvânMakam"
"divanmakam-duseli-bu-askin-canim-eline","muhayyer--ilahi--sofyan--duseli_bu_askin--dede_efendi","needs-review","257","117","Catalog metadata mismatch: usul:Düyek != sofyan","Düşeli Bu Aşkın Canım Eline","Muhayyer","İlahi","Düyek","Dede Efendi","DîvânMakam"
