"catalogId","status","checkedAt","sourceId","provider","url","title","evidenceTitle","evidenceMakam","evidenceForm","evidenceUsul","evidenceComposer","evidenceSourceProvider"
"muhayyer--ilahi--duyek--toprakta_yatacak--dede_efendi","accepted","2026-05-10","divanmakam-toprakta-yatacak-teni-tenim-var-score","score","https://divanmakam.com/forum/toprakta-yatacak-teni-tenim-var-deyup-neylersin-dede-efendi-muhayyer.35720/","Toprakta Yatacak Teni Tenim Var Deyüp Neylersin - Dede Efendi - Muhayyer","Toprakta Yatacak Teni Tenim Var Deyüp Neylersin","Muhayyer","İlahi","Düyek","Dede Efendi","DîvânMakam"
"rast--ilahi--sofyan--sevgi_baht--tahir_karagoz","accepted","2026-05-10","divanmakam-sevgi-baht-olmus-ezelden-bize-score","score","https://divanmakam.com/forum/sevgi-baht-olmus-ezelden-bize-tahir-karagoz-hafiz-rast.32916/","Sevgi Baht Olmuş Ezelden Bize - Tahir Karagöz - Hafız - Rast","Sevgi Baht Olmuş Ezelden Bize","Rast","İlahi","Sofyan","Tahir Karagöz","DîvânMakam"
"saba--ilahi--duyek--git_ey--munir_nurettin_selcuk","accepted","2026-05-10","ogm-materyal-git-ey-akan-gozyasim-score","score","https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/12/tsm-koro/files/basic-html/page114.html","Git Ey Akan Göz Yaşım - İlahi","Git Ey Akan Göz Yaşım","Sabâ","İlahi","Düyek","Münir Nurettin Selçuk","OGM Materyal"
"segah--ilahi--duyek--ey_acep--seyh_huseyin_halis_efendi","accepted","2026-05-10","divanmakam-ey-acep-kudret-beni-kilmistir-score","score","https://divanmakam.com/forum/ey-acep-kudret-beni-kilmistir-alim-u-asina-halis-efendi-seyh-segah.13786/","Ey Acep Kudret Beni Kılmıştır Alim Ü Aşina - Halis Efendi (Şeyh) - Segah","Ey Acep Kudret Beni Kılmıştır Alim Ü Aşina","Segah","İlahi","Düyek","Halis Efendi (Şeyh)","DîvânMakam"
"sehnaz--ilahi--duyek--zahid_bize--selahaddin_demirtas","accepted","2026-05-10","divanmakam-zahid-bize-tan-eyleme-sehnaz-score","score","https://divanmakam.com/forum/zahid-bize-tan-eyleme-hak-ismin-okur-dilimiz-selahattin-demirtas-sehnaz.39322/","Zahid Bize Tan Eyleme Hak İsmin Okur Dilimiz - Selahattin Demirtaş - Şehnaz","Zahid Bize Tan Eyleme Hak İsmin Okur Dilimiz","Şehnaz","İlahi","Düyek","Selahattin Demirtaş","DîvânMakam"
"ussak--ilahi--duyek--allah_emrin--zekai_dede","accepted","2026-05-10","ogm-materyal-allah-emrin-tutalim-score","score","https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/12/thm-teori-uygulama/files/basic-html/page37.html","Allah Emrin Tutalım Rahmetine Batalım - Uşşak İlahi","Allah Emrin Tutalım Rahmetine Batalım","Uşşak","İlahi","Düyek","Zekai Dede","OGM Materyal"
"ussak--ilahi--sofyan--askinla_cak--haci_nafiz_bey","accepted","2026-05-10","divanmakam-askinla-cak-olsa-bu-ten-score","score","https://divanmakam.com/forum/askinla-cak-olsa-bu-ten-ben-yine-illallah-direm-nafiz-bey-haci-ussak.2713/","Aşkınla Çak Olsa Bu Ten Ben Yine İllallah Direm - Nafiz Bey (Hacı) - Uşşak","Aşkınla Çak Olsa Bu Ten Ben Yine İllallah Direm","Uşşak","İlahi","Sofyan","Nafiz Bey (Hacı)","DîvânMakam"
